TAZ,YEAR,STATE,GEOGRAPHY,GEOID,TRPAID,TAZ_Current
285,2020,NV,Tract,32031003308,320310033082020,385
269,2020,NV,Tract,32031003310,320310033102020,369
287,2020,NV,Tract,32031003308,320310033082020,387
291,2020,NV,Tract,32031003308,320310033082020,391
268,2020,NV,Tract,32031003310,320310033102020,368
292,2020,NV,Tract,32031003308,320310033082020,392
270,2020,NV,Tract,32031003310,320310033102020,370
274,2020,NV,Tract,32031003311,320310033112020,374
293,2020,NV,Tract,32031003308,320310033082020,393
283,2020,NV,Tract,32031003305,320310033052020,383
273,2020,NV,Tract,32031003311,320310033112020,373
282,2020,NV,Tract,32031003305,320310033052020,382
284,2020,NV,Tract,32031003305,320310033052020,384
266,2020,NV,Tract,32031003310,320310033102020,366
290,2020,NV,Tract,32031003305,320310033052020,390
271,2020,NV,Tract,32031003311,320310033112020,371
272,2020,NV,Tract,32031003311,320310033112020,372
281,2020,NV,Tract,32031003305,320310033052020,381
280,2020,NV,Tract,32031003305,320310033052020,380
289,2020,NV,Tract,32031003308,320310033082020,389
277,2020,NV,Tract,32031003306,320310033062020,377
294,2020,NV,Tract,32031003308,320310033082020,394
278,2020,NV,Tract,32031003306,320310033062020,378
288,2020,NV,Tract,32031003308,320310033082020,388
267,2020,NV,Tract,32031003310,320310033102020,367
279,2020,NV,Tract,32031003306,320310033062020,379
265,2020,NV,Tract,32031003307,320310033072020,365
262,2020,NV,Tract,32031003307,320310033072020,362
276,2020,NV,Tract,32031003306,320310033062020,376
275,2020,NV,Tract,32031003306,320310033062020,375
264,2020,NV,Tract,32031003307,320310033072020,364
261,2020,NV,Tract,32031003307,320310033072020,361
263,2020,NV,Tract,32031003306,320310033062020,363
260,2020,NV,Tract,32031003307,320310033072020,360
295,2020,NV,Tract,32031003308,320310033082020,395
259,2020,NV,Tract,32031003310,320310033102020,359
296,2020,NV,Tract,32031003308,320310033082020,396
258,2020,NV,Tract,32031003307,320310033072020,358
297,2020,NV,Tract,32031003308,320310033082020,397
257,2020,NV,Tract,32031003310,320310033102020,357
256,2020,NV,Tract,32031003310,320310033102020,356
255,2020,NV,Tract,32031003310,320310033102020,355
253,2020,NV,Tract,32031003310,320310033102020,353
254,2020,NV,Tract,32031003310,320310033102020,354
252,2020,NV,Tract,32031003310,320310033102020,352
231,2020,NV,Tract,32005001600,320050016002020,331
235,2020,NV,Tract,32005001600,320050016002020,335
236,2020,NV,Tract,32005001600,320050016002020,336
147,2020,CA,Tract,6061022100,060610221002020,247
144,2020,CA,Tract,6061022100,060610221002020,244
